Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
136	:	1762196721.926	     0.012	0	0	0	0	conjuge -vI animer
137	:	1762196721.929	     0.013	0	0	0	0	conjuge -vI annihiler
138	:	1762196721.933	     0.009	0	0	0	0	conjuge -vI annoncer
139	:	1762196721.936	     0.009	0	0	0	0	conjuge -vI annoter
140	:	1762196721.939	     0.012	0	0	0	0	conjuge -vI annuler
141	:	1762196721.942	     0.012	0	0	0	0	conjuge -vI anticiper
142	:	1762196721.946	     0.011	0	0	0	0	conjuge -vI apaiser
143	:	1762196721.949	     0.012	0	0	0	0	conjuge -vI apercevoir
144	:	1762196721.951	     0.013	0	0	0	0	conjuge -vI apeurer
145	:	1762196721.954	     0.013	0	0	0	0	conjuge -vI apitoyer
146	:	1762196721.958	     0.009	0	0	0	0	conjuge -vI aplanir
147	:	1762196721.961	     0.012	0	0	0	0	conjuge -vI aplatir
148	:	1762196721.964	     0.012	0	0	0	0	conjuge -vI 'apparaître'
150	:	1762196721.970	     0.016	0	0	0	0	conjuge -vI apparier
151	:	1762196721.973	     0.016	0	0	0	0	conjuge -vI apparoir
152	:	1762196721.976	     0.014	0	0	0	0	conjuge -vI appartenir
153	:	1762196721.980	     0.016	0	0	0	0	conjuge -vI appauvrir
154	:	1762196721.987	     0.009	0	0	0	0	conjuge -vI appeler
155	:	1762196721.990	     0.012	0	0	0	0	conjuge -vI appendre
156	:	1762196721.994	     0.012	0	0	0	0	conjuge -vI applaudir
157	:	1762196721.996	     0.009	0	0	0	0	conjuge -vI appliquer
158	:	1762196722.000	     0.012	0	0	0	0	conjuge -vI apporter
159	:	1762196722.002	     0.011	0	0	0	0	conjuge -vI apposer
160	:	1762196722.009	     0.010	0	0	0	0	conjuge -vI 'apprécier'
161	:	1762196722.011	     0.012	0	0	0	0	conjuge -vI 'appréhender'
162	:	1762196722.014	     0.012	0	0	0	0	conjuge -vI apprendre
163	:	1762196722.017	     0.012	0	0	0	0	conjuge -vI 'apprêter'
164	:	1762196722.020	     0.012	0	0	0	0	conjuge -vI approcher
165	:	1762196722.023	     0.012	0	0	0	0	conjuge -vI approfondir
166	:	1762196722.026	     0.009	0	0	0	0	conjuge -vI approprier
167	:	1762196722.029	     0.009	0	0	0	0	conjuge -vI approuver
168	:	1762196722.032	     0.013	0	0	0	0	conjuge -vI approvisionner
169	:	1762196722.035	     0.013	0	0	0	0	conjuge -vI appuyer
170	:	1762196722.039	     0.009	0	0	0	0	conjuge -vI arborer
171	:	1762196722.041	     0.014	0	0	0	0	conjuge -vI arguer
172	:	1762196722.045	     0.010	0	0	0	0	conjuge -vI arracher
173	:	1762196722.048	     0.013	0	0	0	0	conjuge -vI arranger
174	:	1762196722.052	     0.013	0	0	0	0	conjuge -vI 'arrêter'
175	:	1762196722.055	     0.009	0	0	0	0	conjuge -vI arriver
176	:	1762196722.058	     0.013	0	0	0	0	conjuge -vI arrondir
177	:	1762196722.061	     0.012	0	0	0	0	conjuge -vI arroser
178	:	1762196722.065	     0.011	0	0	0	0	conjuge -vI aspirer
179	:	1762196722.068	     0.009	0	0	0	0	conjuge -vI assagir
180	:	1762196722.070	     0.011	0	0	0	0	conjuge -vI assaillir
181	:	1762196722.074	     0.013	0	0	0	0	conjuge -vI assainir
182	:	1762196722.077	     0.011	0	0	0	0	conjuge -vI assassiner
183	:	1762196722.081	     0.009	0	0	0	0	conjuge -vI assembler
184	:	1762196722.084	     0.012	0	0	0	0	conjuge -vI assener
185	:	1762196722.087	     0.009	0	0	0	0	conjuge -vI 'asséner'
186	:	1762196722.090	     0.012	0	0	0	0	conjuge -vI asseoir
187	:	1762196722.094	     0.011	0	0	0	0	conjuge -vI asservir
188	:	1762196722.096	     0.016	0	0	0	0	conjuge -vI 'assiéger'
189	:	1762196722.100	     0.021	0	0	0	0	conjuge -vI assimiler
190	:	1762196722.102	     0.022	0	0	0	0	conjuge -vI assister
191	:	1762196722.106	     0.022	0	0	0	0	conjuge -vI associer
192	:	1762196722.113	     0.015	0	0	0	0	conjuge -vI assombrir
193	:	1762196722.121	     0.013	0	0	0	0	conjuge -vI assommer
194	:	1762196722.124	     0.013	0	0	0	0	conjuge -vI assortir
195	:	1762196722.128	     0.009	0	0	0	0	conjuge -vI assoupir
196	:	1762196722.131	     0.009	0	0	0	0	conjuge -vI assouplir
197	:	1762196722.133	     0.013	0	0	0	0	conjuge -vI assouvir
198	:	1762196722.137	     0.011	0	0	0	0	conjuge -vI assujettir
199	:	1762196722.140	     0.011	0	0	0	0	conjuge -vI assumer
200	:	1762196722.143	     0.013	0	0	0	0	conjuge -vI assurer
201	:	1762196722.146	     0.013	0	0	0	0	conjuge -vI astreindre
202	:	1762196722.149	     0.011	0	0	0	0	conjuge -vI attacher
203	:	1762196722.152	     0.013	0	0	0	0	conjuge -vI attaquer
204	:	1762196722.156	     0.013	0	0	0	0	conjuge -vI attarder
205	:	1762196722.159	     0.009	0	0	0	0	conjuge -vI atteindre
